no,code,year ,type,x,y,distx,elv,aq,ec,ph,hard,tds,temp,eh,Q,Ca,Mg,Fe,Mn,K,Na,CO3,HCO3,CO2,Cl,SO4,NO2,NO3,SiO2,cumrain,lag1
91,240,1998,groundwater,779749.8099,10753920.75,12322.4401,1150,tuffsand,71.9,6.89,11,58.67,21,7,1,3.9,1.7,0.08,0.22,1.7,5,9,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
92,241,1998,groundwater,779287.0807,10757791.22,12785.16935,940,tuffsand,91,5.82,9.6,83.4,22.2,76,0.5,3.4,1,0.1,0.22,4.2,9.5,0,46.4,18.1,3.6,0.9,0.02,0.8,55,40.5,37.4
93,242,1998,groundwater,778949.4861,10758895.98,13122.76393,790,tuffsand,167,6.6,4.5,113.39,22.8,40,1,3.8,0.9,0.06,0.22,3.8,8,12,15.7,0,5,0.4,0.02,0.6,43,40.5,37.4
94,243,1998,groundwater,778412.2092,10755905.52,13660.04083,1130,tuffsand,427,5.92,4.4,245.73,22.6,75,2,3.8,3.6,0.1,0.22,4.9,7.5,8.9,30.7,0,7.5,0.3,0.02,1.3,54,40.5,37.4
95,244,1998,groundwater,777881.7124,10751587.28,14190.53764,990,breccias,71.9,6.89,11,58.67,21,7,1,4.2,1.7,0.08,0.22,1.7,5,10,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
96,245,1998,groundwater,777100.0357,10753021.7,14972.21428,820,breccias,131,6.37,10,74.2,22,32,1,5.4,3.9,0.08,0.22,1.6,5.8,10,16.1,0,7.6,0.6,0,5.2,28,40.5,37.4
97,246,1998,groundwater,776637.5243,10756892.13,15434.72573,760,tuffsand,449,8.1,12,360,24.2,25,2,63.6,13.3,0.08,0.23,9.5,26,14.5,169.5,0,50.3,22.6,0.34,93.7,75.1,40.5,37.4
98,247,1998,groundwater,776304.6,10757111.7,15767.65003,650,tuffsand,394,8,8.2,216,24.6,-0.6,2.3,34.3,14.5,0.08,0.24,6.5,48,0,257.8,27.9,17.3,9.2,0.16,6.8,32.6,40.5,37.4
99,248,1998,groundwater,776193.4341,10757221.77,15878.8159,765,clay,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,61,0,2.7,1.3,0.01,2.1,28,40.5,37.4
100,249,1998,groundwater,775304.1237,10758102.36,16768.12634,760,clay,252,5.45,10,370.21,23.8,75,10,9.7,6.4,0.08,0.22,7.7,17,0.1,122.2,27.2,3.3,1.3,0,1.3,56,40.5,37.4
101,250,1998,groundwater,771336.0161,10755537.01,20736.23393,700,breccias,919,7.9,14.7,316,22.4,75,1,62.8,25.3,0.08,0.24,7.5,98,0,360.1,26.8,140,9,2.11,12.5,44.8,40.5,37.4
102,251,1998,groundwater,768459.0276,10755854.36,23613.22239,765,clay,362,6.78,8,312.57,25.2,18,2,12,13.3,0.06,0.22,7.9,18,17.9,50,117.8,57.3,2.6,0,0.08,50,40.5,37.4
103,301,2007,groundwater,791358.411,10754868.21,713.8390093,1175,tuffsand,160,6.4,7,95.49,23.5,38,0.5,6.8,1,0.16,0.22,5.6,9.6,1.7,61,0,2.7,1.3,0,2.1,42,11,164.1
104,302,2007,groundwater,790201.3943,10764157.57,1870.855707,980,tuffsand,247,8.11,4,82,23.3,-0.43,2,11.8,2,0.27,0.24,2.5,7,14,40.3,0,7.3,0,0,5.3,47,11,164.1
105,303,2007,groundwater,790005.7558,10759508.66,2066.494233,650,tuffsand,427,7.45,8,207,24.6,-0.45,1,14.6,6.1,0.45,0.22,3.5,40,5.5,100.7,54.4,21.4,51.7,0,0.3,26,11,164.1
106,304,2007,groundwater,789968.6193,10766258.89,2103.630735,740,tuffsand,122,6.98,8.8,282,24.6,-0.33,0.5,24.1,6.5,0.31,0.23,17,42,10,120.8,45.3,33,25.5,0,14.5,18.3,11,164.1
107,305,2007,groundwater,786240.1504,10760484.1,5832.099594,890,tuffsand,71.9,6.89,11,58.67,21,7,1,4.8,1.7,0.08,0.22,1.7,5,9,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
108,306,2007,groundwater,785759.9354,10767453.05,6312.314626,705,tuffsand,364,7.4,7,462,24.2,-0.4,0.5,72.2,15.9,0.06,0.24,7.5,48,10,336.7,108.8,45.5,25.5,0,5.2,13.1,11,164.1
109,307,2007,groundwater,785379.2415,10756053.09,6693.008484,1040,tuffsand,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,60.5,0,2.7,1.3,0.01,2.1,28,11,164.1
110,308,2007,groundwater,785309.9728,10748306.62,6762.277199,765,tuffsand,489,7.12,4.4,360,23.4,-0.18,0.5,47.9,15.7,1.02,0.24,10.5,43,19.6,235.2,126.9,56.6,18,0,0,44.1,11,164.1
111,309,2007,groundwater,785256.7552,10758265.61,6815.494758,890,tuffsand,71.9,6.89,11,58.67,21,7,1,3.5,1.7,0.08,0.22,1.7,5,7,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
112,310,2007,groundwater,785246.6244,10760146.76,6825.6256,940,tuffsand,204,5.92,7,350.45,24.8,80,2,7.8,4.5,0.1,0.22,1.9,11.1,1.4,54.2,0,11.4,2.8,0,11,40,11,164.1
113,311,2007,groundwater,785220.2874,10765015.61,6851.962623,710,tuffsand,522,7.63,8,174,25.3,-0.42,0.5,17.4,3.6,0.36,0.25,3,32,5.1,114.4,18.1,16.3,24.7,0,0.5,26.2,11,164.1
